"EQUIP_SN","ACQU_TIME","MEAS_LAYER","FARM_ID","SITE_ID","MEAS_DEPTH","VAL_TP","VAL_DO","VAL_DS","VAL_PH","VAL_OR","VAL_SL","VAL_NT","VAL_AM","DQ_TP","DQ_DO","DQ_DS","DQ_PH","DQ_OR","DQ_SL","DQ_NT","DQ_AM","QC_TP","QC_DO","QC_DS","QC_PH","QC_OR","QC_SL","LAT","LON","GPS_RATE","VT_BAT","PUMP_RATE","REGI_TIME","DQ_C2","VAL_C2","DQ_LX","VAL_LX","DQ_C2_UNIT","VAL_C2_UNIT","VAL_HM","VAL_WT","DQ_TB","VAL_TB","VAL_NI","DQ_NI","CNT_TY","CNT_DO","CNT_DS","CNT_PH","CNT_OR","CNT_SL","DATA_SOURCE_TYPE"
MSB-M-250006,2026-01-10 00:00:00.000,3,C590001,"0001",2,6.4,10.3,101.6,8.5,365.6,30.2,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,12.5,0,2026-01-09 15:04:35.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-09 23:00:00.000,3,C590001,"0001",2,6.2,10.3,101.5,8.5,382.4,30.3,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,12.5,0,2026-01-09 14:04:34.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-09 22:00:00.000,3,C590001,"0001",2,6.3,10.3,101.4,8.5,396.5,30.3,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,12.6,0,2026-01-09 13:04:34.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-09 21:00:00.000,3,C590001,"0001",2,6.3,10.3,101.5,8.5,367.1,30.4,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,12.6,0,2026-01-09 12:04:34.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-09 20:00:00.000,3,C590001,"0001",2,6.5,10.3,102,8.5,383.7,30.2,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,12.6,0,2026-01-09 11:04:33.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-09 19:00:00.000,3,C590001,"0001",2,6.7,10.3,102.3,8.5,397,30.1,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,12.7,0,2026-01-09 10:04:37.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-09 18:00:00.000,3,C590001,"0001",2,7.5,10.3,104.2,8.5,367.6,30.2,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,12.7,0,2026-01-09 09:04:34.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-09 17:00:00.000,3,C590001,"0001",2,7.7,10.1,103.4,8.5,384.1,30.3,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,12.8,0,2026-01-09 08:04:34.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-09 16:00:00.000,3,C590001,"0001",2,7.9,10.1,103.6,8.5,397.8,30.3,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,12.8,0,2026-01-09 07:04:33.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-09 15:00:00.000,3,C590001,"0001",2,7.8,10.3,105.1,8.5,368.1,30.2,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,13.7,0,2026-01-09 06:04:32.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-09 14:00:00.000,3,C590001,"0001",2,7.8,10.2,104,8.5,385,30.3,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,13,0,2026-01-09 05:04:33.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-09 13:00:00.000,3,C590001,"0001",2,7.9,10.1,103.7,8.5,399.3,30.3,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,13.7,0,2026-01-09 04:04:32.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-09 12:00:00.000,3,C590001,"0001",2,7.4,10.2,103.4,8.5,370,30.4,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,13,0,2026-01-09 03:04:32.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-09 11:00:00.000,3,C590001,"0001",2,6.3,10.4,102.2,8.4,388.3,30.2,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,13.4,0,2026-01-09 02:04:32.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-09 10:00:00.000,3,C590001,"0001",2,5.9,10.3,101.1,8.4,404.5,30.2,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,13.1,0,2026-01-09 01:04:32.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-09 09:00:00.000,3,C590001,"0001",2,5.6,10.3,99.9,8.4,374.6,30.2,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,13.1,0,2026-01-09 00:04:32.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-08 23:00:00.000,3,C590001,"0001",2,6.4,10.2,101.1,8.4,396.8,30.2,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,12.6,0,2026-01-08 14:04:36.000,,,,,,,,,,,,,,,,,,,
MSB-M-250006,2026-01-08 22:00:00.000,3,C590001,"0001",2,6.3,10.2,101.2,8.4,367,30.2,,,0,0,0,0,0,2,,,O,O,O,O,O,O,,,100,12.6,0,2026-01-08 13:04:36.000,,,,,,,,,,,,,,,,,,,
